"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"67"	"Drosophila yakuba"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.433882366734397	"7245"	"7234"	15929
"68"	"Drosophila yakuba"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.423581466103951	"7245"	"46245"	15925
"69"	"Drosophila yakuba"	"Drosophila sechellia"	"Drosophila"	"6.1"	0.204870979415099	"7245"	"7238"	15937
"70"	"Drosophila yakuba"	"Drosophila simulans"	"Drosophila"	"4.9"	0.225785316614665	"7245"	"7240"	15937
"71"	"Drosophila yakuba"	"Drosophila virilis"	"Drosophila"	"39.2"	0.481018541833019	"7245"	"7244"	15928
"72"	"Drosophila yakuba"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.471153747652769	"7245"	"7260"	15923
"73"	"Drosophila melanogaster"	"Drosophila ananassae"	"Drosophila"	"44.2"	0.316846782609356	"7227"	"7217"	20039
"74"	"Drosophila melanogaster"	"Drosophila erecta"	"Drosophila"	"12.8"	0.153728391919213	"7227"	"7220"	20037
"75"	"Drosophila melanogaster"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.430031478023712	"7227"	"7222"	20032
"76"	"Drosophila melanogaster"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.426602095255737	"7227"	"7230"	20035
"77"	"Drosophila melanogaster"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.376712962311487	"7227"	"7234"	20037
"78"	"Drosophila melanogaster"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.362177720867936	"7227"	"46245"	20027
"79"	"Drosophila melanogaster"	"Drosophila sechellia"	"Drosophila"	"2.3"	0.107278384399603	"7227"	"7238"	20043
"80"	"Drosophila melanogaster"	"Drosophila simulans"	"Drosophila"	"2.3"	0.137366894724933	"7227"	"7240"	20041
"81"	"Drosophila melanogaster"	"Drosophila virilis"	"Drosophila"	"39.2"	0.41458919734722	"7227"	"7244"	20033
"82"	"Drosophila melanogaster"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.405872533043808	"7227"	"7260"	20030
"83"	"Drosophila melanogaster"	"Drosophila yakuba"	"Drosophila"	"5.6"	0.151131784971113	"7227"	"7245"	20040
"84"	"Drosophila ananassae"	"Drosophila erecta"	"Drosophila"	"44.2"	0.355345050257388	"7217"	"7220"	14954
"85"	"Drosophila ananassae"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.48070368276855	"7217"	"7222"	14944
"86"	"Drosophila ananassae"	"Drosophila melanogaster"	"Drosophila"	"44.2"	0.354035775465691	"7217"	"7227"	14911
"87"	"Drosophila ananassae"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.474381923074829	"7217"	"7230"	14941
"88"	"Drosophila ananassae"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.41815965965609	"7217"	"7234"	14958
"89"	"Drosophila ananassae"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.408314019928235	"7217"	"46245"	14951
